dataset_name,doc_index,doc_label,doc_name,filename,original_row_indices,financebench_ids,context_hash,sturdy_doc_id,match_score
DocFinQA,0,DocFinQA_0,,,"0,106,363,2614,3706,3762,4252,5261,5436",,455fc0d82732129966b9ab1bd748dbc43e253fd6134f898226f81ee7f7f01a7a,3b66efa1a6ff112c123b55d4134c60c0,1.0
DocFinQA,1,DocFinQA_1,,,"1,248,690,3226",,a32cf9be01a9f8945ee193db68bac82fb88a381a7926547107b9778836138b75,3f638ef807e0320672f02c907b863eea,1.0
DocFinQA,2,DocFinQA_2,,,"2,17,809,869,884,1190,1634,1823,1829,1877,2567,3023,3193,3220,4058,4072,5114",,3aa1991ff9ceef24bb983902e5cd10877224962dd7977cc80695eab75fb3abc4,6be668008daee74882fc5168af4874c9,1.0
DocFinQA,3,DocFinQA_3,,,"3,11,145,191,225,267,395,559,571,636,712,960,978,983,1045,1079,1202,1218,1349,1408,1409,1483,1515,1626,1762,1794,1828,1830,1833,1919,1961,1990,2167,2310,2351,2364,2473,2541,2615,2624,2629,2736,2781,3108,3169,3358,3380,3407,3446,3461,3514,3555,3665,3668,3698,3768,3797,3816,3871,4036,4133,4164,4298,4413,4420,4433,4444,4682,4732,4781,4903,4924,5009,5038,5054,5128,5155",,7213ae35d41b5875d2f7f2a581beab13adfa57b2228cb890794869c793886386,02201083e49df2a17e70dce445b7b800,1.0
DocFinQA,4,DocFinQA_4,,,"4,412,575,883,963,973,1113,1396,1545,2265,2392,2578,3143,3305,3813,4101,4120,4154,4189,4320,4971,4982",,5e04d5b72114d7c6fcadfe35e53f2e2051026eb57aa91519a0bd57534ff19071,87509a85bf9c7c80365b0437db9d1f3f,1.0
DocFinQA,5,DocFinQA_5,,,"5,319,650,686,922,1029,1422,1431,1795,1808,1844,2630,3058,3519,3763,3952,4319,4331,4919,4963,4964,5035,5148",,db0f1c9c298d93a225dd6f01425938f583a494cda1e5c868bef8b8357bc2f549,f9348643f74b71968b2a3bc074ad9d34,1.0
DocFinQA,6,DocFinQA_6,,,"6,180,828,975,1564,2345,4107,4596,4658,4747,4768,4914",,da5e2c52ffe4d730c363a11cf6f9c7603097f69d30e8d1718841b3c47527768f,96a636dbf11d8e7718a098dbd30e9951,1.0
DocFinQA,7,DocFinQA_7,,,"7,813,1172,1412,1656,1664,2861,3196,3865,4182,4204",,6c9bdc674f92c22c041ad4aa77c4828d988035abda448c7f8d4a8f74e17dfd5a,a974080ffb297183dda109d409f97f03,1.0
DocFinQA,8,DocFinQA_8,,,"8,941,1053,1866,1968,3091,3121,4195",,d9619cf0540c634c51cdb913d7463add86f93aab83c531935fc9776bddb89297,fa087693b7e953073d7834730a3cc445,1.0
DocFinQA,9,DocFinQA_9,,,"9,2407",,4e893caaaee1310e8363e84603aed0a948843b32ca8d4b8070491dfc7e5bcce1,f73340773f22850c4aae5e890d491226,1.0
DocFinQA,10,DocFinQA_10,,,"10,73,82,257,538,779,923,980,1120,1289,1433,1519,1749,1962,2138,2223,2426,2681,2756,3005,3352,3392,3956,4447,4648,4746,4922,5087,5090",,b63833eac17ac2e8b587309e6083ebc46ed668606ad75105435bf845a3c39780,2dea08714c541c02d718d9f63eccb848,1.0
DocFinQA,11,DocFinQA_11,,,"12,20,52,132,302,303,320,398,425,435,663,700,840,1062,1089,1182,1253,1309,1499,1572,1787,1816,1931,1932,1978,1992,2010,2014,2079,2108,2200,2254,2372,2501,2611,2831,2855,2922,2924,2949,3048,3337,3399,3483,3511,3530,3545,3636,4005,4046,4047,4116,4140,4175,4272,4408,4469,4481,4661,4700,5070",,aabd2c32a47edc247ad0e0a6603170b1da1f2abcd8221c10abe858e4fee17c93,eb7576af4fd3f4ae0034981457072e75,1.0
DocFinQA,12,DocFinQA_12,,,"13,92,146,240,819,1056,1535,1588,1879,1901,2612,2613,2685,3002,3637,3817,3917,4096,4353,4578,5022",,2e113ed7a43fe90ee13f7601549ea34c9739ad38bfc0ac76138eea11c6d83513,2dea08714c541c02d718d9f63eccb848,1.0
DocFinQA,13,DocFinQA_13,,,"14,346,1759,2354,2940,5151",,03c763a763d569e1925e3a4cf1c8bc47bda0ffe1f8594dbcbb43aa618132f92b,5e8dcf48b9b38780c8bb18a06c26fb79,1.0
